"逆ポーランド表記法","オペランドの後に演算子を配置する方式で数式を表現する表記法。"
"ソーシャルエンジニアリング","人間の勘違いや思い込みなどを利用して，パスワードなどを盗もうとする攻撃手法"
"LANアナライザ","LAN上を流れる情報を監視するためのツール"
"WAF","Webサーバとブラウザの間で送受信されるデータの内容を監視するファイアウォール"
"クロスサイトスクリプティング","Webページに不正なスクリプトを送り込み，機密情報を詐取する攻撃手法"
"セッションハイジャック","ブラウザとWebサーバ間のセッションを乗っ取り，悪用する攻撃手法"
"ブルートフォース","考えられる全ての文字の組合せを試してパスワードを推測しようとする攻撃手法"
"ミラーポート","スイッチングハブなどに送信されてきたパケットの複製を送出するポート"
"CMMI","組織の開発工程や管理体制の評価を行うために用いられるプロセス成熟度モデル"
"ユースケース","システムの利用者から見たシステムの機能または機能の組合せのこと"
"ユースケース図","ユースケースやアクタ（利用者）を表現するための図法"
"クラス図","システムを構成するクラスの属性，操作及びクラス間の関係を表現する図法"
"状態遷移図","ある状態から別の状態へ遷移する事象や条件を表現する図法"
"スタブ","テスト中のモジュールから呼び出す下位モジュールの代わりとなるプログラム"
"デザインレビュー","システムの設計書などの内容を検証し，仕様の誤りや抜けを発見すること"
"アクティビティ図","UMLの図法の一種で，システムの処理の流れを表現できる"
"シーケンス図","オブジェクト間で送受信されるメッセージを，処理の時系列に表記するための図法"
"ホワイトボックステスト","プログラムの内部構造を解析した上で実行するテスト"
"モジュール強度","モジュールの独立性を表す指標。一つの機能だけを行うモジュールほど強度が高い"
"マッシュアップ","複数の提供元が提供するコンテンツなどを組み合わせ，新たなサービスを作ること"
"特許権","自然法則を利用した発明のうち，高度なもの（特許）を保護するための権利"
"アローダイアグラム","矢印（作業）と丸印（作業の完了点）を用いて，作業順序や作業期間を表す図法"
"ファンクションポイント法","機能や画面の数からシステムの規模を見積る手法"
"WBS","プロジェクトの作業を，大きいものから小さいものに分割して管理する図法"
"Zグラフ","移動合計額，売上累計額及び毎月の売上額を記録したグラフ"
"アーンドバリュー分析（EVM）","アーンドバリューなどの指標を用いて，スケジュールの進捗度を分析する手法"
"人月","1人の作業者が1か月間に実行する作業の量を表す単位"
"アーンドバリュー（EV）","実際に終了した作業の進捗度を金額（費用）に換算した指標"
"散布図","二つのデータの間に存在する相関関係を分析するための図法"
"プランドバリュー（PV）","計画段階における，システムの開発作業の進捗度を金額（費用）に換算した指標"
"プロジェクト品質マネジメント","プロジェクトの品質を満たすための各種プロセスの管理体制"
"リスク転嫁","システムに付随するリスクによって発生する損失を，他者に肩代わりさせること"
"SLA","サービスの提供者と取得者の間で合意した契約事項。サービスレベル合意"
"インシデント管理","停止したシステムを早期に復旧させることを目的とした運用管理プロセス"
"変更管理","システムに対する変更要求の妥当性を検証し，変更を行うためのプロセス"
"可用性管理","障害からの復旧時間を短縮し，サービスを可能な限り継続することが目的のプロセス"
"データ管理者（DA）","データの論理的構造の設計や，情報システム全体に関する資源の管理を行う者"
"データベース管理者（DBA）","個々のデータベースの運用，保守及び管理を行う者"
"問題管理","システムの障害原因を恒久的に解決することを目指すプロセス"
"監査調書","システム監査で入手した証拠資料や監査手続の内容などをまとめた書類"
"システム監査人","システム監査を行う専門職で，監査の専門知識や立場の独立性などが要求される"
"内部統制","企業が業務を適正に遂行するために，従業員を管理する体制を構築・運用する仕組み"
"情報セキュリティ管理基準","経済産業省が公表している，情報セキュリティマネジメント体制の構築に関する規範"
"システム管理基準","情報システムへの効率的な投資を図ることなどを目的とした基準。経済産業省公表"
"エンタープライズアーキテクチャ","システムや組織の業務の効率化や全体最適化を図るための手法"
"ROI","投資した資本に対して得られる利益の割合。投下資本利益率"
"非機能要件","操作性や処理時間など，システムの機能以外で要求される要件"
"SOA","ソフトウェアの機能をサービスとして，その組合せによりシステムを構成すること"
"アプリケーションアーキテクチャ","情報システムの構成や，サブシステム間の情報の種類・方向を示したもの"
"システム化構想","経営要求や事業目的を確認し，システム化する業務の範囲を明確にすること"
"全体最適化計画","組織全体の情報システムのあるべき姿を明確にする計画"
"データアーキテクチャ","システムや組織に内在するデータ及びその関連を示したもの"
"テクノロジアーキテクチャ","システムを構成する技術要素（ハードウェアなど）を示したもの"
"ビジネスアーキテクチャ","ビジネス戦略に必要な業務プロセス（業務機能）を示したもの"
"共通フレーム","システムの取得者と提供者が共通してもつべき物差しとして扱われる国際規格"
"情報提供依頼書（RFI）","システムの取得者が，情報の提供を依頼するためにベンダに送付する文書"
"提案依頼書（RFP）","システムの取得者が，システムの提案を依頼するためにベンダに送付する文書"
"バランススコアカード","財務・顧客・業務プロセス・学習と成長の四つの視点からビジネスを分析する手法"
"SWOT分析","自社の製品や事業の，強み，弱み，機会，脅威を分析する経営分析手法"
"KPI","KGIがどの程度まで達成されたかを確認するために設定される，定量的な指標"
"デルファイ法","専門家にアンケートの回答を求めることを繰り返して，より現実的な解を得る手法"
"KGI","戦略目標。業務改善を行うために設定する具体的な目標"
"PPM","市場占有率及び市場成長率から，各事業への資源配分の度合いを決定する手法"
"フォロワ戦略","リーダ企業の戦略を模倣することで費用を削減し，利益を得ようとする戦略"
"技術のSカーブ","新しい技術が進歩する過程における技術進歩の度合いを表すS字状のグラフ"
"EDI","企業間での情報の電子的な交換を行うための仕組み"
"OC曲線","ロットの品質（不良率）と当該ロットの合格確率との関係を表したグラフ"
"RFID","無線を利用して，非接触形式でデータ伝送を行うマイクロチップ"
"GPL","ソフトウェアの使用者に，その実行，再配布及び改変の自由を認めているライセンス"
"NC工作機械","コンピュータなどによって，動作を数値制御されている工作機械"
"情報表現規約","EDIの規約の一つで，企業間でやり取りされるメッセージの形式を規定している"
"セル生産方式","製造の全工程を少人数で担当する，多品種少量生産に向いた生産方式"
"コアコンピタンス","他社が真似できない，自社独自の技術や業務プロセスを核とした経営手法"
"固定費","家賃や人件費など，製品の製造個数に関係なく毎期同額が計上される費用"
"変動費","材料費など，製品の製造個数に比例して増加する費用のこと"
"マクシマックス原理","全ての方針の中から，最大の利益の値が最も大きくなるものを選ぶ戦略"
"マクシミン原理","全ての方針の中から，最悪（最小）の利益の値が最も大きくなるものを選ぶ戦略"
"BCP","災害が発生しても，事業をできる限り継続したり早期に復旧させたりするための計画"
"営業利益","売上総利益から販売費及び一般管理費を引いて求めた利益"
"ゲーム理論","各主体が一定の規則に従い，自分の利益を最大化するための戦略を選ぶこと"
"減価償却","備品などの固定資産の価値を毎年削減して，その分の費用を計上すること"
"コーポレートガバナンス","企業の経営管理状況を監視し，企業活動の健全性や正当性を維持すること"
"著作権","著作物を創作した者（著作者）の権利を定義している法律"
"請負契約","請負元事業者の指揮命令の下で，請負先が依頼した作業を労働者に行わせる契約"
"製造物責任法（PL法）","製造物の欠陥によって生じた損害の賠償責任などを定めている法律"
"著作物","思想または感情を創作的に表現したもの。プログラムも含まれる"
"GIF","可逆圧縮方式の画像圧縮規格で，256色まで扱うことができる"
"JPEG","非可逆圧縮方式の画像圧縮規格で，写真などの表現に向いている"
"営業秘密","不正競争防止法で定義される，販売方法その他の事業活動に有用な情報のこと"
"偽装請負","労働状況が請負契約の条件を満たしていないのに，請負契約で労働を行うこと"
"下請代金支払遅延等防止法","親事業者の下請事業者に対する取引を公正にすることを目的とした法律"
"不正競争防止法","事業者間の公正な競争を目的とし，営業秘密などについて定義している法律。"
